n,t,score
0,0.39294934272766113,4
1,0.30121803283691406,5
2,0.38494229316711426,5
3,0.32814526557922363,5
4,0.36200785636901855,5
5,0.351060152053833,3
6,0.32712316513061523,6
7,0.31674790382385254,4
8,0.37478065490722656,5
9,0.3610665798187256,3
10,0.27526164054870605,6
11,0.39594078063964844,6
12,0.3290901184082031,3
13,0.3640260696411133,6
14,0.36604952812194824,6
15,0.3420560359954834,5
16,0.31119608879089355,7
17,0.35502028465270996,6
18,0.3221404552459717,4
19,0.40790605545043945,6
20,0.3431124687194824,5
21,0.3610038757324219,5
22,0.3560469150543213,4
23,0.30518317222595215,3
24,0.33211278915405273,4
25,0.3291177749633789,6
26,0.3201737403869629,2
27,0.32813096046447754,6
28,0.33010387420654297,5
29,0.3739745616912842,6
30,0.3530852794647217,6
31,0.3430509567260742,7
32,0.3191807270050049,6
33,0.36099934577941895,4
34,0.3650538921356201,5
35,0.3420534133911133,4
36,0.44580745697021484,5
37,0.40491795539855957,7
38,0.36602067947387695,5
39,0.3181478977203369,5
40,0.4278559684753418,7
41,0.39597010612487793,7
42,0.3809494972229004,6
43,0.34311509132385254,5
44,0.36299824714660645,3
45,0.3919496536254883,5
46,0.3640251159667969,15
47,0.3401310443878174,6
48,0.30913352966308594,8
49,0.3171508312225342,7
50,0.34906506538391113,4
51,0.41887927055358887,6
52,0.35405421257019043,3
53,0.37499523162841797,4
54,0.4328432083129883,6
55,0.3423922061920166,6
56,0.33710479736328125,4
57,0.3700437545776367,5
58,0.3530254364013672,4
59,0.3650550842285156,5
60,0.34704041481018066,5
61,0.3670480251312256,5
62,0.4387986660003662,6
63,0.40491390228271484,13
64,0.3899838924407959,5
65,0.38195061683654785,6
66,0.28823065757751465,6
67,0.38895750045776367,6
68,0.39893484115600586,5
69,0.3570687770843506,5
70,0.35602331161499023,6
71,0.4168825149536133,7
72,0.3231315612792969,5
73,0.4109008312225342,12
74,0.4438133239746094,5
75,0.345076322555542,6
76,0.3959662914276123,5
77,0.3829493522644043,5
78,0.40294909477233887,5
79,0.34903907775878906,6
80,0.44383835792541504,5
81,0.43181943893432617,10
82,0.3869655132293701,8
83,0.4029207229614258,7
84,0.4198791980743408,5
85,0.34011363983154297,7
86,0.3739736080169678,6
87,0.3979763984680176,5
88,0.3869493007659912,5
89,0.3061866760253906,6
90,0.3669865131378174,8
91,0.36003780364990234,3
92,0.37399816513061523,6
93,0.3201429843902588,4
94,0.34906601905822754,3
95,0.4059154987335205,12
96,0.3450767993927002,10
97,0.42186975479125977,4
98,0.3390939235687256,5
99,0.4228670597076416,5
100,0.4398233890533447,5
101,0.3610358238220215,8
102,0.3510606288909912,8
103,0.4009256362915039,6
104,0.39693784713745117,5
105,0.3351290225982666,6
106,0.4318203926086426,5
107,0.41887784004211426,5
108,0.3291196823120117,5
109,0.36502504348754883,4
110,0.37200427055358887,5
111,0.4059145450592041,5
112,0.3819758892059326,9
113,0.38197994232177734,4
114,0.42963171005249023,6
115,0.36801576614379883,5
116,0.40392112731933594,6
117,0.4059114456176758,4
118,0.43483662605285645,4
119,0.3670194149017334,6
120,0.3600351810455322,5
121,0.3869655132293701,6
122,0.6612303256988525,4
123,0.49866676330566406,5
124,0.5076408386230469,4
125,0.4418179988861084,4
126,0.3670156002044678,5
127,0.41887927055358887,4
128,0.37998318672180176,5
129,0.3979349136352539,5
130,0.36903858184814453,8
131,0.45179152488708496,4
132,0.31316184997558594,6
133,0.4079093933105469,7
134,0.36901187896728516,6
135,0.3650240898132324,6
136,0.3540520668029785,8
137,0.38496923446655273,7
138,0.3500640392303467,4
139,0.37200331687927246,5
140,0.37998461723327637,9
141,0.3171818256378174,5
142,0.2901933193206787,4
143,0.3560471534729004,8
144,0.3510611057281494,7
145,0.45083189010620117,6
146,0.36797618865966797,15
147,0.3430826663970947,5
148,0.4118967056274414,5
149,0.41788172721862793,4
